bottle,position,leaf.num,vial.mass,vial.leaf,leaf.mass
1,top,3,13.5956,13.6043,0.00870000000000104
2,top,3,13.5049,13.5146,0.00970000000000049
3,top,3,13.5824,13.5932,0.0107999999999997
4,top,3,13.6471,13.6566,0.00949999999999918
5,top,3,13.5664,13.5762,0.00980000000000025
6,top,3,13.6252,13.6355,0.0103000000000009
7,top,3,13.5751,13.5846,0.00949999999999918
8,top,3,13.6427,13.6527,0.00999999999999979
9,top,3,13.5335,13.5422,0.00869999999999926
10,top,3,13.7178,13.7272,0.00939999999999941
1,sed,3,13.5389,13.5467,0.00779999999999959
2,sed,3,13.6254,13.6376,0.0122
3,sed,3,13.5619,13.571,0.00910000000000011
4,sed,3,13.6141,13.6227,0.0085999999999995
5,sed,3,13.5842,13.5946,0.0104000000000006
6,sed,3,13.5507,13.5589,0.00819999999999865
7,sed,3,13.4698,13.4805,0.0106999999999999
8,sed,3,13.6824,13.6924,0.00999999999999979
9,sed,3,13.6403,13.6474,0.00709999999999944
10,sed,3,13.5518,13.5586,0.00680000000000014
