Sample,percN,massN,percC,massC,CN
top1,1.49,0.106377662,45.28,3.769971775,35.43950581
top2,1.66,0.118514711,45.02,3.748324411,31.62750333
top3,1.28,0.091384837,45.33,3.77413473,41.29935384
top4,1.62,0.115658935,45.93,3.824090186,33.06350865
top5,1.9,0.135649368,43.98,3.661734953,26.99411735
top6,1.41,0.10066611,43.59,3.629263906,36.0524899
top7,1.71,0.122084431,45.42,3.781628048,30.97551438
top8,1.54,0.109947382,45.14,3.758315502,34.18285568
top9,1.3,0.092812725,46.28,3.853230869,41.5161914
top10,1.75,0.124940207,44.26,3.685047499,29.49448846
sed1,1.58,0.112803158,39.99,3.329531168,29.5162938
sed2,1.48,0.105663718,35.46,2.952367472,27.94116586
sed3,1.64,0.117086823,36.76,3.060604295,26.13961352
sed4,1.9,0.135649368,41.86,3.485225674,25.69290023
sed5,1.54,0.109947382,38.86,3.235448392,29.4272435
sed6,1.64,0.117086823,36.29,3.02147252,25.80540192
sed7,1.45,0.103521886,33.96,2.827478831,27.31286052
sed8,1.3,0.092812725,31.04,2.584362277,27.84491316
sed9,1.65,0.117800767,37.81,3.148026343,26.72330944
sed10,1.64,0.117086823,36.97,3.078088704,26.28894211
