Bottle,Position,LeafNum,CrucNum,CrucMass,CrucLeafDM,CrucAM,LeafMass,AshMass,AFDM,PropOM,PercOM,AFDM_Total,Total_Ergosterol_ug,Erg_per_leaf,Erg_mass_norm,leaf_R,leaf_SA,Erg_area_norm
1,Top,5,8,28.969,28.9856,28.9711,0.0166000000000004,0.00209999999999866,0.00290000000000035,0.873493975903698,87.3493975903698,0.0145000000000017,1.580873898,0.790436949,272.564465172381,0.0675,0.0143138815279185,27.6108527047081
2,Top,5,21,31.004,31.0162,31.0058,0.0122,0.00179999999999936,0.00208000000000013,0.852459016393495,85.2459016393495,0.0104000000000006,0.694553697,0.3472768485,166.960023317297,0.0675,0.0143138815279185,12.1307713712264
3,Top,5,1,29.7396,29.7542,29.7414,0.0146000000000015,0.00179999999999936,0.00256000000000043,0.87671232876718,87.671232876718,0.0128000000000021,1.20614492,0.60307246,235.57517968746,0.0675,0.0143138815279185,21.0660001210621
4,Top,5,10,29.7532,29.7667,29.7546,0.0135000000000005,0.00140000000000029,0.00242000000000004,0.896296296296279,89.6296296296279,0.0121000000000002,1.519556881,0.7597784405,313.958033264458,0.0675,0.0143138815279185,26.5399164796107
5,Top,5,18,29.439,29.4591,29.4414,0.0200999999999993,0.00240000000000151,0.00353999999999957,0.880597014925294,88.0597014925294,0.0176999999999978,2.180698351,1.0903491755,308.008241666704,0.0675,0.0143138815279185,38.0871244942656
6,Top,4,5,30.3824,30.3934,30.383,0.0109999999999992,0.000599999999998602,0.00260000000000016,0.945454545454669,94.5454545454669,0.0104000000000006,1.694216717,0.8471083585,325.810907115365,0.0675,0.0143138815279185,29.5904488537144
7,Top,6,14,28.2202,28.2417,28.2221,0.0215000000000032,0.00190000000000268,0.00326666666666675,0.911627906976633,91.1627906976633,0.0196000000000005,1.770452959,0.8852264795,270.987697806116,0.0675,0.0143138815279185,30.921957743377
8,Top,5,6,31.5172,31.5301,31.5187,0.0129000000000019,0.00150000000000006,0.00228000000000037,0.883720930232571,88.3720930232571,0.0114000000000019,1.237906552,0.618953276,271.470735087675,0.0675,0.0143138815279185,21.6207349066276
9,Top,5,16,28.8747,28.8857,28.8761,0.0109999999999992,0.00140000000000029,0.00191999999999979,0.872727272727237,87.2727272727238,0.00959999999999894,1.094517146,0.547258573,285.030506770865,0.0675,0.0143138815279185,19.116358198599
10,Top,2,12,28.1269,28.1345,28.1281,0.00760000000000005,0.00120000000000076,0.00319999999999965,0.842105263157796,84.2105263157796,0.0063999999999993,3.049443504,1.524721752,476.475547500052,0.0675,0.0143138815279185,53.2602477191846
1,Sed,4,17,30.5155,30.5309,30.5209,0.0153999999999996,0.00540000000000163,0.0024999999999995,0.649350649350536,64.9350649350536,0.00999999999999801,0.281777365,0.1408886825,56.3554730000113,0.0675,0.0143138815279185,4.92140032824793
2,Sed,5,24,29.3983,29.4187,29.4013,0.0204000000000022,0.00300000000000011,0.00348000000000042,0.852941176470599,85.2941176470598,0.0174000000000021,0.697517561,0.3487587805,100.218040373551,0.0675,0.0143138815279185,12.1825369247246
3,Sed,5,15,26.9928,27.0104,26.9978,0.0176000000000016,0.00500000000000256,0.00251999999999981,0.715909090908972,71.5909090908972,0.0125999999999991,0.385379396,0.192689698,76.4641658730216,0.0675,0.0143138815279185,6.73086813049865
4,Sed,5,23,28.8174,28.8329,28.8219,0.0154999999999994,0.00450000000000017,0.00219999999999985,0.709677419354817,70.9677419354817,0.0109999999999992,0.445206155,0.2226030775,101.183217045461,0.0675,0.0143138815279185,7.77577616056917
5,Sed,5,9,27.0811,27.096,27.0858,0.0149000000000008,0.0046999999999997,0.00204000000000022,0.684563758389299,68.4563758389298,0.0102000000000011,0.189148292,0.094574146,46.3598754901911,0.0675,0.0143138815279185,3.30358141554888
6,Sed,5,4,27.4881,27.5027,27.492,0.0146000000000015,0.00390000000000157,0.00213999999999999,0.732876712328687,73.2876712328687,0.0106999999999999,1.115830325,0.5579151625,260.708019859814,0.0675,0.0143138815279185,19.4886048697488
7,Sed,5,22,26.9347,26.953,26.9433,0.0183,0.00860000000000127,0.00193999999999974,0.530054644808673,53.0054644808673,0.00969999999999871,0.760582925,0.3802914625,196.026527061882,0.0675,0.0143138815279185,13.2840090145451
8,Sed,5,20,29.1399,29.1546,29.1421,0.0146999999999977,0.00219999999999843,0.00249999999999986,0.850340136054506,85.0340136054506,0.0124999999999993,0.975871008,0.487935504,195.174201600011,0.0675,0.0143138815279185,17.0441365973411
9,Sed,5,7,28.2001,28.2164,28.2034,0.0163000000000011,0.00329999999999941,0.00260000000000034,0.797546012269988,79.7546012269988,0.0130000000000017,0.35408399,0.177041995,68.0930749999911,0.0675,0.0143138815279185,6.1842762445214
10,Sed,5,13,29.7275,29.7437,29.7313,0.0162000000000013,0.0038000000000018,0.0024799999999999,0.76543209876534,76.543209876534,0.0123999999999995,0.482387662,0.241193831,97.255577016133,0.0675,0.0143138815279185,8.42517211455061
